number_of_items,total_price,total_freight,number_of_payments,total_payment_value,purchase_hour,purchase_weekday,purchase_month,estimated_delivery_days,customer_state,distance_km
1.0,101.9,21.3,1.0,123.2,22,Wednesday,2016-10,56.04600694444444,DF,677.2802990104964
1.0,24.99,17.78,1.0,42.77,23,Wednesday,2016-10,60.03155092592593,MG,929.8467249783522
1.0,49.99,19.36,1.0,69.35,0,Thursday,2016-10,56.99563657407408,RS,909.9544933958094
1.0,39.99,11.95,1.0,51.94,2,Thursday,2016-10,52.87940972222222,SP,99.8445913420549
2.0,99.98,29.18,1.0,129.16,7,Thursday,2016-10,54.70260416666667,MG,494.53360808262516
1.0,633.0,20.39,1.0,653.39,7,Thursday,2016-10,54.67141203703704,SP,737.4079675003793
1.0,499.99,94.47,1.0,594.46,8,Thursday,2016-10,94.64700231481481,CE,2363.208874597131
2.0,225.9,24.790000000000003,1.0,250.69,8,Thursday,2016-10,52.62634259259259,SP,60.58940469012148
1.0,20.9,14.52,1.0,35.42,9,Thursday,2016-10,56.619537037037034,SP,460.2117595023142
1.0,279.9,17.45,1.0,297.35,9,Thursday,2016-10,52.60931712962963,SP,356.9575533977272
1.0,59.9,14.69,1.0,74.59,9,Thursday,2016-10,54.58387731481481,RJ,554.3945571727029
1.0,649.17,22.14,1.0,671.31,10,Thursday,2016-10,60.57486111111111,DF,1184.0085398616968
1.0,109.99,16.26,1.0,126.25,10,Thursday,2016-10,54.57369212962963,SC,686.0668429132182
2.0,499.8,35.18,1.0,534.98,10,Thursday,2016-10,54.55052083333333,SP,498.395969343444
1.0,40.9,11.03,1.0,51.93,11,Thursday,2016-10,52.53769675925926,SP,294.50045219820163
1.0,128.9,16.04,1.0,144.94,11,Thursday,2016-10,52.519444444444446,SP,65.96410089120019
1.0,159.9,16.33,1.0,176.23,12,Thursday,2016-10,54.48487268518519,SP,352.3147892749008
1.0,109.9,17.96,1.0,127.86,12,Thursday,2016-10,56.4846412037037,RJ,875.9968590290106
1.0,107.99,11.8,1.0,119.79,12,Thursday,2016-10,52.46395833333333,SP,344.1960627055206
1.0,99.9,16.26,1.0,116.16,13,Thursday,2016-10,54.45657407407408,SP,726.3308067625777
1.0,25.9,8.72,1.0,34.62,13,Thursday,2016-10,52.44657407407407,SP,16.507935912509595
1.0,39.9,16.05,1.0,55.95,13,Thursday,2016-10,56.43101851851852,DF,962.4336879264683
2.0,119.8,57.94,1.0,126.12,14,Thursday,2016-10,54.3750462962963,RJ,721.6836490288212
1.0,89.9,17.47,1.0,107.37,15,Thursday,2016-10,56.36517361111111,RS,1028.2535858873723
2.0,399.8,67.4,1.0,467.2,15,Thursday,2016-10,66.36134259259259,RN,2260.1147594215595
1.0,59.9,14.93,1.0,74.83,16,Thursday,2016-10,52.32395833333333,SP,361.88517636697736
1.0,136.9,25.7,1.0,162.6,16,Thursday,2016-10,60.32087962962963,RJ,1078.5076256879358
1.0,139.99,16.23,1.0,156.22,16,Thursday,2016-10,52.3031712962963,PR,294.09414615736637
1.0,79.9,11.38,1.0,91.28,17,Thursday,2016-10,52.28466435185185,PR,423.2198935573135
1.0,89.9,15.49,1.0,105.39,17,Thursday,2016-10,54.26193287037037,MG,279.7863459306357
1.0,49.0,25.15,1.0,74.15,17,Thursday,2016-10,60.26006944444445,GO,778.2776494975354
1.0,69.9,19.26,1.0,89.16,18,Thursday,2016-10,74.24790509259259,ES,1442.7309211802408
1.0,44.9,20.8,1.0,65.7,18,Thursday,2016-10,62.2422337962963,GO,764.4211681586954
2.0,49.8,45.86,1.0,81.9,18,Thursday,2016-10,56.214988425925924,PR,845.5125860185525
1.0,41.99,19.07,1.0,61.06,19,Thursday,2016-10,60.18502314814815,GO,603.0744104538752
1.0,88.0,11.23,1.0,99.23,19,Thursday,2016-10,52.181805555555556,SP,72.54872299584255
1.0,29.9,8.72,1.0,38.62,20,Thursday,2016-10,52.163148148148146,SP,13.451365258665428
1.0,39.9,10.96,1.0,50.86,20,Thursday,2016-10,52.162199074074074,RJ,175.6380121881715
1.0,59.9,25.92,1.0,85.82,20,Thursday,2016-10,54.15601851851852,SC,461.4578071852425
1.0,249.9,17.59,1.0,267.49,22,Thursday,2016-10,54.083020833333336,SP,375.5826963321528
1.0,69.99,17.58,1.0,87.57,22,Thursday,2016-10,74.06707175925926,RJ,387.3599041015246
1.0,79.99,11.17,1.0,91.16,22,Thursday,2016-10,52.0596875,SP,253.96420281366085
1.0,18.9,14.52,1.0,33.42,23,Thursday,2016-10,54.02696759259259,PR,331.1890105832472
3.0,134.7,46.89,1.0,181.59,0,Friday,2016-10,54.962037037037035,RJ,685.6665751029462
1.0,128.9,16.04,1.0,144.94,2,Friday,2016-10,52.887708333333336,SP,468.7965436764086
1.0,30.97,10.96,1.0,41.93,8,Friday,2016-10,52.646886574074074,SP,304.6553822978799
1.0,590.0,21.56,1.0,611.56,8,Friday,2016-10,60.64673611111111,RJ,1083.5940619315372
1.0,32.9,14.52,1.0,47.42,9,Friday,2016-10,54.60201388888889,SP,434.1326998949118
1.0,129.97,20.49,1.0,150.46,9,Friday,2016-10,52.59650462962963,SP,38.33435630849531
1.0,73.35,12.23,1.0,85.58,10,Friday,2016-10,52.579675925925926,SP,356.78332987435346
1.0,18.9,22.28,1.0,41.18,10,Friday,2016-10,62.57849537037037,RN,1635.524922587739
1.0,399.0,56.01,1.0,455.01,10,Friday,2016-10,58.575208333333336,RS,774.9487886760834
1.0,49.99,26.61,1.0,76.6,10,Friday,2016-10,66.57025462962963,AL,2251.11239405859
1.0,99.99,11.23,1.0,111.22,10,Friday,2016-10,52.56324074074074,RJ,23.41904191061222
1.0,69.9,17.63,1.0,87.53,10,Friday,2016-10,54.55253472222222,SP,464.8168357792765
1.0,349.9,13.61,1.0,363.51,10,Friday,2016-10,48.55152777777778,RJ,35.3618883598741
2.0,499.98,21.48,1.0,521.46,10,Friday,2016-10,52.546967592592594,RJ,19.562287947327967
1.0,269.9,16.65,1.0,286.55,10,Friday,2016-10,54.54321759259259,SP,488.295890648224
3.0,329.70000000000005,33.69,1.0,363.39,11,Friday,2016-10,52.52738425925926,SP,11.875505744948203
1.0,79.9,16.33,1.0,96.23,11,Friday,2016-10,58.51834490740741,SP,797.7372346198428
1.0,18.9,10.96,1.0,29.86,11,Friday,2016-10,52.51583333333333,SP,370.1688683573472
1.0,49.0,14.72,1.0,72.02,12,Friday,2016-10,54.49548611111111,MG,320.13221726435074
1.0,27.9,14.52,1.0,42.42,14,Friday,2016-10,54.4056712962963,SP,344.50298599494175
1.0,174.9,17.65,1.0,192.55,14,Friday,2016-10,58.38836805555555,SP,910.2982064955389
1.0,58.0,14.6,1.0,72.6,14,Friday,2016-10,54.38741898148148,MG,467.9872836708248
1.0,89.9,23.27,1.0,113.17,14,Friday,2016-10,58.38722222222222,RS,852.4536362802294
1.0,249.9,14.03,1.0,263.93,14,Friday,2016-10,52.380208333333336,RJ,40.0277552734355
1.0,339.9,14.45,1.0,354.35,15,Friday,2016-10,48.366203703703704,RJ,43.28906600860928
1.0,131.99,17.55,1.0,149.54,16,Friday,2016-10,58.29800925925926,RJ,681.5216347006162
2.0,199.8,24.52,1.0,224.32,16,Friday,2016-10,52.29403935185185,SP,202.24682040235277
1.0,193.8,18.52,1.0,212.32,17,Friday,2016-10,54.28476851851852,MG,729.3180342266469
1.0,39.99,11.81,1.0,51.8,17,Friday,2016-10,52.282152777777775,SP,189.59122640156198
1.0,51.5,14.53,1.0,66.03,17,Friday,2016-10,72.26540509259259,MG,462.454717297714
1.0,249.0,16.95,1.0,265.95,19,Friday,2016-10,54.20638888888889,PR,536.5141774449232
1.0,59.9,11.31,1.0,71.21,19,Friday,2016-10,52.19665509259259,PR,394.9373758725426
1.0,132.0,15.08,1.0,147.08,21,Friday,2016-10,54.11143518518519,RJ,344.47381210985156
1.0,379.98,35.7,2.0,415.68,21,Friday,2016-10,52.10402777777778,SP,440.31729791233863
1.0,212.4,25.57,1.0,237.97,21,Friday,2016-10,58.08997685185185,SP,908.9021517288685
1.0,138.0,22.44,1.0,160.44,22,Friday,2016-10,54.05834490740741,SP,494.4430730369917
1.0,161.55,15.3,1.0,176.85,22,Friday,2016-10,54.05079861111111,SE,536.1465370340064
1.0,29.99,10.96,1.0,40.95,22,Friday,2016-10,52.0475462962963,SP,30.277899672761283
1.0,49.0,20.49,1.0,69.49,23,Friday,2016-10,54.02872685185185,PR,685.6619073371701
1.0,1399.0,24.55,1.0,1423.55,1,Saturday,2016-10,54.938726851851854,RJ,356.2654059126959
1.0,949.99,21.97,1.0,971.96,2,Saturday,2016-10,52.90366898148148,SP,133.1549383882822
1.0,49.9,10.96,1.0,60.86,4,Saturday,2016-10,52.83202546296296,SP,61.932285049413345
3.0,179.7,81.0,1.0,260.7,8,Saturday,2016-10,66.66295138888889,PA,1776.638574058141
1.0,54.99,9.49,1.0,64.48,8,Saturday,2016-10,52.64893518518519,PR,2.7957700434891692
1.0,49.99,11.17,1.0,61.16,9,Saturday,2016-10,52.590185185185184,SP,138.12150934117088
1.0,299.9,13.82,1.0,313.72,9,Saturday,2016-10,50.5862962962963,RJ,39.37889241674013
1.0,210.0,36.09,1.0,246.09,10,Saturday,2016-10,66.57818287037037,PI,2030.0438089151633
1.0,19.9,24.84,1.0,44.74,10,Saturday,2016-10,66.56480324074074,MA,1928.6468433553725
1.0,689.99,93.23,1.0,783.22,10,Saturday,2016-10,58.56180555555556,ES,716.0847734419589
1.0,119.99,29.4,1.0,149.39,10,Saturday,2016-10,94.54462962962963,CE,2371.8390826408518
2.0,98.0,45.4,1.0,143.4,11,Saturday,2016-10,58.51846064814815,DF,859.7712826005252
1.0,339.9,21.27,1.0,361.17,11,Saturday,2016-10,58.5069212962963,GO,905.0783628445439
1.0,69.99,12.09,1.0,82.08,13,Saturday,2016-10,52.42079861111111,SP,84.08808102645472
1.0,49.9,26.61,1.0,76.51,14,Saturday,2016-10,66.39483796296297,PE,2126.2434729617307
1.0,129.99,9.9,1.0,139.89,14,Saturday,2016-10,52.38324074074074,SP,24.267916775363485
1.0,169.99,34.39,1.0,204.38,15,Saturday,2016-10,64.37349537037036,BA,1288.4897449196042
2.0,219.8,29.92,1.0,249.72,15,Saturday,2016-10,52.3494212962963,SP,343.014457547575
1.0,119.9,15.01,2.0,134.91,15,Saturday,2016-10,54.345671296296295,MG,266.06602217424086
1.0,249.99,11.93,1.0,261.92,15,Saturday,2016-10,52.341712962962966,RJ,3.3838735075926554
1.0,21.5,8.72,1.0,30.22,16,Saturday,2016-10,52.331863425925924,SP,38.317041756360275
2.0,179.8,27.42,1.0,207.22,17,Saturday,2016-10,52.26151620370371,SP,12.993463650714851
1.0,399.99,20.09,1.0,420.08,17,Saturday,2016-10,66.26150462962963,SP,84.21971248879225
1.0,389.0,60.65,1.0,449.65,18,Saturday,2016-10,54.222824074074076,RJ,407.353729422639
1.0,239.9,16.75,1.0,256.65,18,Saturday,2016-10,52.21835648148148,MG,87.34165589994375
1.0,35.0,16.05,1.0,51.05,20,Saturday,2016-10,58.164907407407405,DF,919.0350048405975
1.0,49.9,18.82,1.0,68.72,20,Saturday,2016-10,58.15549768518518,GO,897.9262496068687
1.0,99.99,11.23,1.0,111.22,20,Saturday,2016-10,52.15428240740741,RJ,4.011341213699193
1.0,43.89,14.52,1.0,58.41,20,Saturday,2016-10,54.14666666666667,SP,493.98322346586775
1.0,75.9,26.79,1.0,102.69,21,Saturday,2016-10,66.12190972222223,PE,2003.3772956415164
1.0,15.9,14.52,1.0,30.42,21,Saturday,2016-10,54.11611111111111,RJ,451.5315393080715
1.0,74.9,12.02,1.0,86.92,21,Saturday,2016-10,52.098958333333336,SP,119.97650013880687
1.0,134.9,16.09,1.0,150.99,21,Saturday,2016-10,54.08435185185185,RJ,342.3332546709368
1.0,83.9,9.07,1.0,92.97,22,Saturday,2016-10,52.07503472222222,SP,6.554595097004462
1.0,59.9,25.18,1.0,85.08,22,Saturday,2016-10,64.0595949074074,CE,2117.4603698436154
1.0,17.8,14.12,1.0,31.92,22,Saturday,2016-10,52.05444444444444,SP,97.58216188952427
1.0,299.9,19.19,1.0,319.09,23,Saturday,2016-10,54.00965277777778,SC,781.3244117939659
2.0,109.8,30.42,1.0,140.22,0,Sunday,2016-10,51.96050925925926,SP,382.79881870232765
1.0,35.0,16.05,2.0,51.05,11,Sunday,2016-10,57.51861111111111,RS,857.9360933245808
1.0,62.9,17.35,1.0,80.25,11,Sunday,2016-10,57.51130787037037,RJ,903.2826990202147
1.0,72.9,14.39,1.0,87.29,12,Sunday,2016-10,53.49030092592593,PR,322.70920963328314
1.0,29.9,14.59,1.0,44.49,12,Sunday,2016-10,53.467766203703704,SC,534.6026723186438
1.0,44.99,15.53,1.0,60.52,13,Sunday,2016-10,51.436145833333335,MG,177.49309309202232
1.0,299.99,17.91,1.0,317.9,13,Sunday,2016-10,51.41826388888889,PR,162.5077599333023
1.0,129.97,29.38,1.0,159.35,15,Sunday,2016-10,53.36758101851852,MG,886.033053080117
1.0,135.0,18.51,1.0,153.51,15,Sunday,2016-10,59.34726851851852,SC,713.812598911943
1.0,90.0,26.89,1.0,116.89,22,Sunday,2016-10,65.06129629629629,CE,2181.6043120173167
1.0,99.99,11.23,1.0,111.22,22,Sunday,2016-10,51.05959490740741,RJ,2.3727539267739313
6.0,179.19,108.72,1.0,406.92,22,Sunday,2016-10,57.05804398148148,PR,497.628399360313
1.0,11.9,10.96,1.0,22.86,22,Sunday,2016-10,51.05782407407408,SP,132.5616073816612
1.0,39.9,15.7,1.0,55.6,22,Sunday,2016-10,53.05776620370371,RS,448.9688865468791
1.0,79.99,18.84,1.0,98.83,22,Sunday,2016-10,53.05653935185185,SC,613.6102890222254
1.0,56.0,20.47,1.0,76.47,22,Sunday,2016-10,53.0565162037037,MG,531.1155600950381
1.0,39.99,15.63,2.0,55.62,22,Sunday,2016-10,53.05376157407407,RJ,508.35262510006635
1.0,380.0,39.06,1.0,419.06,22,Sunday,2016-10,53.05253472222222,MG,824.5999320568566
2.0,87.3,21.72,1.0,109.02,23,Sunday,2016-10,51.02415509259259,SP,154.99328515930176
1.0,79.9,11.17,1.0,105.19,23,Sunday,2016-10,51.01505787037037,MG,266.0214189471273
1.0,29.9,15.11,1.0,45.01,23,Sunday,2016-10,53.006516203703704,SP,354.6697848784281
1.0,549.99,63.79,1.0,613.78,23,Sunday,2016-10,53.003125,SP,367.55034993126895
1.0,49.9,24.84,1.0,74.74,0,Monday,2016-10,64.99872685185186,PB,2204.7448727182214
1.0,99.9,16.27,1.0,116.17,2,Monday,2016-10,52.90422453703704,SP,335.6659240009078
1.0,19.9,14.52,1.0,34.42,4,Monday,2016-10,52.8116087962963,MG,611.4261818104364
1.0,24.99,10.96,1.0,35.95,4,Monday,2016-10,50.798969907407404,SP,18.844817886807643
1.0,54.9,20.94,1.0,75.84,7,Monday,2016-10,62.70616898148148,BA,1367.5309204235275
1.0,32.99,15.56,1.0,48.55,7,Monday,2016-10,52.67113425925926,RJ,329.37679758679155
1.0,169.9,22.66,1.0,192.56,8,Monday,2016-10,52.641608796296296,SP,476.0584407422241
1.0,49.99,11.03,1.0,61.02,9,Monday,2016-10,50.608472222222225,SP,202.94226422165073
1.0,99.9,16.26,1.0,116.16,10,Monday,2016-10,52.56929398148148,RS,239.70875698307805
1.0,65.9,23.18,1.0,89.08,10,Monday,2016-10,58.56741898148148,SE,1527.2334962687933
1.0,59.9,27.61,1.0,87.51,10,Monday,2016-10,50.56329861111111,SP,124.42244499157562
1.0,45.89,11.17,1.0,57.06,11,Monday,2016-10,50.535497685185184,RJ,23.779144714541435
1.0,6.0,14.11,1.0,20.11,11,Monday,2016-10,52.5297337962963,RJ,341.22826245062936
1.0,79.9,16.33,1.0,96.23,11,Monday,2016-10,56.52597222222222,SP,823.5886215082232
2.0,119.8,35.4,1.0,155.2,11,Monday,2016-10,58.51451388888889,DF,1082.617625271579
1.0,161.99,32.86,1.0,194.85,12,Monday,2016-10,64.47284722222223,RN,2324.1635384748593
1.0,24.9,20.8,1.0,45.7,12,Monday,2016-10,62.46207175925926,RS,1397.951261639024
1.0,29.9,10.96,1.0,40.86,12,Monday,2016-10,50.46196759259259,SP,73.17387438176077
1.0,739.98,44.82,1.0,784.8,13,Monday,2016-10,52.41827546296296,SC,779.8688722074155
1.0,39.7,29.32,1.0,69.02,14,Monday,2016-10,66.41526620370371,RR,3302.880367168979
1.0,49.0,16.11,1.0,65.11,14,Monday,2016-10,56.40233796296296,RJ,1180.1853891611863
1.0,176.97,87.11,1.0,264.08,15,Monday,2016-10,64.37399305555556,MA,2340.1003875413944
1.0,94.99,17.53,1.0,112.52,15,Monday,2016-10,56.36094907407407,PR,812.510999451652
1.0,49.9,11.74,1.0,61.64,15,Monday,2016-10,50.3584375,RS,192.49650899006642
1.0,69.0,11.94,1.0,80.94,15,Monday,2016-10,66.34916666666666,SP,102.54194683896793
3.0,86.69999999999999,42.33,1.0,129.03,15,Monday,2016-10,52.34028935185185,MG,475.9966001800601
1.0,39.99,11.8,1.0,51.79,15,Monday,2016-10,64.3402662037037,MG,388.0570451931078
1.0,39.99,24.84,1.0,64.83,16,Monday,2016-10,64.33298611111111,MA,2612.162308710897
1.0,279.9,18.01,1.0,297.91,16,Monday,2016-10,52.33295138888889,MG,204.11044643400083
1.0,72.0,15.9,1.0,87.9,16,Monday,2016-10,52.30582175925926,PR,483.7177683041391
1.0,58.0,21.99,1.0,79.99,16,Monday,2016-10,62.29502314814815,SE,1729.8350719286104
1.0,19.0,14.52,2.0,33.52,17,Monday,2016-10,52.257395833333334,RJ,266.64638066649593
1.0,131.0,12.78,1.0,143.78,18,Monday,2016-10,50.24590277777778,SP,199.07778992439034
